id,title,slug,location,area,price,type,availability,furnishing,suitable_for,description,amenities,image_urls,seo_area,whatsapp_number,is_active
1,Furnished Executive Room,furnished-executive-room-al-sadd-doha,"Al Sadd, Doha",Near Joaan Metro Station,2800,Single Room,Immediate,Fully Furnished,Working Professionals,"Bright private room with attached bath, wardrobe, Wi-Fi, and quick access to central Doha.","Attached Bath|Wi-Fi|Split AC|Housekeeping","https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1484154218962-a197022b5858?auto=format&fit=crop&w=900&q=80|https://images.unsplash.com/photo-1494526585095-c41746248156?auto=format&fit=crop&w=900&q=80",rooms for rent in Al Sadd Doha,97455512345,true
2,Modern Studio Apartment,modern-studio-apartment-old-airport-doha,"Old Airport, Doha",Near Airport Road,4200,Studio,This Week,Semi Furnished,Couples and Remote Workers,"Well-planned studio apartment with kitchen space, balcony, and easy access to shops and transport.","Balcony|Parking|CCTV|Water Included","https://images.unsplash.com/photo-1494526585095-c41746248156?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1460317442991-0ec209397118?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?auto=format&fit=crop&w=1200&q=80",studio apartment in Old Airport Doha,97455512345,true
3,Budget Sharing Room,budget-sharing-room-muntazah-doha,"Muntazah, Doha",Near Rawdat Al Khail Street,1800,Shared Room,Immediate,Furnished,Bachelors and Staff,"Affordable sharing room in a well-connected part of Doha with secure building entry and daily convenience nearby.","Bed|Cupboard|Wi-Fi|Laundry","https://images.unsplash.com/photo-1484154218962-a197022b5858?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1494526585095-c41746248156?auto=format&fit=crop&w=1200&q=80",budget rooms in Muntazah Doha,97455512345,true
4,Family 2BHK Apartment,family-2bhk-apartment-al-wakrah-road-doha,"Al Wakrah Road, Doha",Near main road access,6500,2BHK,Next Month,Semi Furnished,Families,"Spacious apartment with family-friendly layout, nearby supermarkets, and practical road connectivity.","Lift|Security|Play Area|Covered Parking","https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1494526585095-c41746248156?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1460317442991-0ec209397118?auto=format&fit=crop&w=1200&q=80",2BHK apartment in Doha,97455512345,true
5,Executive Room in Tower,executive-room-in-tower-west-bay-doha,"West Bay, Doha",Near business district,3900,Private Room,Immediate,Fully Furnished,Office Professionals,"Ready-to-move private room with AC, work desk, and fast access to Doha business towers and Corniche routes.","AC|Desk|Wi-Fi|Security","https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1460317442991-0ec209397118?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?auto=format&fit=crop&w=1200&q=80",private rooms in West Bay Doha,97455512345,true
6,Modern 1BHK Rental,modern-1bhk-rental-lusail-doha,"Lusail, Doha",Near Marina District,5600,1BHK,This Week,Semi Furnished,Couples and Professionals,"Modern 1BHK with open kitchen, natural light, and a premium location close to Lusail waterfront attractions.","Open Kitchen|Balcony|Water Included|Parking","https://images.unsplash.com/photo-1460317442991-0ec209397118?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1494526585095-c41746248156?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?auto=format&fit=crop&w=1200&q=80",1BHK for rent in Lusail Doha,97455512345,true
7,Metro Side Single Room,metro-side-single-room-bin-mahmoud-doha,"Bin Mahmoud, Doha",Near Bin Mahmoud Metro,2500,Single Room,Immediate,Furnished,Professionals,"Comfortable single room with metro access, wardrobe space, and practical shared kitchen setup.","Metro Access|Wardrobe|Wi-Fi|Shared Kitchen","https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1484154218962-a197022b5858?auto=format&fit=crop&w=900&q=80|https://images.unsplash.com/photo-1494526585095-c41746248156?auto=format&fit=crop&w=900&q=80",single room in Bin Mahmoud Doha,97455512345,true
8,Family 3BHK Flat,family-3bhk-flat-al-waab-doha,"Al Waab, Doha",Near Villaggio area,8900,3BHK,This Week,Semi Furnished,Families,"Large family apartment with generous living room, parking, and easy access to schools and shopping.","Parking|Lift|Store Room|Security","https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1460317442991-0ec209397118?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1494526585095-c41746248156?auto=format&fit=crop&w=1200&q=80",3BHK flat in Al Waab Doha,97455512345,true
9,Compact Studio for Staff,compact-studio-for-staff-najma-doha,"Najma, Doha",Near C Ring Road,2300,Studio,Immediate,Furnished,Staff and Bachelors,"Efficient studio with private bath, AC, and nearby grocery access in a busy rental pocket.","Private Bath|AC|Wi-Fi|Nearby Grocery","https://images.unsplash.com/photo-1494526585095-c41746248156?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1484154218962-a197022b5858?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1460317442991-0ec209397118?auto=format&fit=crop&w=1200&q=80",studio for rent in Najma Doha,97455512345,true
10,Luxury Marina Apartment,luxury-marina-apartment-the-pearl-doha,"The Pearl, Doha",Near Porto Arabia,9800,2BHK,Next Month,Fully Furnished,Executives and Couples,"Premium apartment with marina views, designer interiors, and lifestyle amenities in The Pearl.","Sea View|Gym|Pool|Covered Parking","https://images.unsplash.com/photo-1460317442991-0ec209397118?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1494526585095-c41746248156?auto=format&fit=crop&w=1200&q=80",luxury apartment in The Pearl Doha,97455512345,true
